remap_index,tmdb_id,type,packed_value,frequency
0,122906,movie,245812,1956
1,913290,movie,1826580,1943
2,565,movie,1130,1827
3,493922,movie,987844,1630
4,85350,movie,170700,1583
5,588,movie,1176,1561
6,1999,movie,3998,1550
7,9428,movie,18856,1496
8,157547,movie,315094,1444
9,9522,movie,19044,1415
10,210577,movie,421154,1400
11,176,movie,352,1380
12,334541,movie,669082,1376
13,401,movie,802,1372
14,82507,movie,165014,1349
15,424139,movie,848278,1348
16,11036,movie,22072,1326
17,270303,movie,540606,1322
18,72105,movie,144210,1313
19,14,movie,28,1303
20,9373,movie,18746,1302
21,9339,movie,18678,1289
22,10066,movie,20132,1279
23,619778,movie,1239556,1272
24,109443,movie,218886,1270
25,322,movie,644,1256
26,9767,movie,19534,1246
27,19913,movie,39826,1243
28,23169,movie,46338,1242
29,2662,movie,5324,1231
30,694,movie,1388,1224
31,882598,movie,1765196,1205
32,8346,movie,16692,1197
33,9656,movie,19312,1191
34,663712,movie,1327424,1191
35,948,movie,1896,1190
36,38,movie,76,1173
37,22970,movie,45940,1166
38,10665,movie,21330,1164
39,345911,movie,691822,1159
40,72844,tvshow,145689,1151
41,41446,movie,82892,1143
42,23437,movie,46874,1133
43,3021,movie,6042,1126
44,866463,movie,1732926,1115
45,4348,movie,8696,1108
46,16619,movie,33238,1106
47,10226,movie,20452,1089
48,4232,movie,8464,1087
49,530385,movie,1060770,1085
50,10320,movie,20640,1082
51,109428,movie,218856,1072
52,8699,movie,17398,1070
53,458723,movie,917446,1070
54,30497,movie,60994,1059
55,420634,movie,841268,1057
56,4234,movie,8468,1053
57,11056,movie,22112,1051
58,1035259,movie,2070518,1046
59,9621,movie,19242,1043
60,11093,movie,22186,1035
61,725201,movie,1450402,1031
62,377,movie,754,1030
63,391713,movie,783426,1028
64,46705,movie,93410,1027
65,83899,movie,167798,1025
66,615457,movie,1230914,1025
67,9489,movie,18978,1024
68,138843,movie,277686,1023
69,1232546,movie,2465092,1016
70,13515,movie,27030,1013
71,713704,movie,1427408,1008
72,12133,movie,24266,1001
73,65086,movie,130172,993
74,157433,movie,314866,989
75,49018,movie,98036,985
76,646385,movie,1292770,983
77,426563,movie,853126,978
78,50646,movie,101292,975
79,320,movie,640,969
80,2082,movie,4164,968
81,1078605,movie,2157210,964
82,10069,movie,20138,958
83,11908,movie,23816,958
84,8193,movie,16386,948
85,8645,movie,17290,945
86,142,movie,284,942
87,242224,movie,484448,924
88,2024,movie,4048,923
89,634,movie,1268,920
90,884605,movie,1769210,920
91,9392,movie,18784,912
92,331482,movie,662964,908
93,4613,tvshow,9227,906
94,509,movie,1018,905
95,13207,movie,26414,904
96,857,movie,1714,898
97,2288,movie,4576,896
98,84892,movie,169784,889
99,11096,movie,22192,887
100,55721,movie,111442,883
101,1933,movie,3866,881
102,507089,movie,1014178,881
103,550988,movie,1101976,878
